time_ps,potential,temperature,pressure,constr._rmsd,box-x,box-z,density
164.000000,-1011525.250000000,310.885376000,0.412384000,0.000004000,9.269299000,12.192505000,1020.813049000
166.000000,-1009256.250000000,309.501068000,43.452057000,0.000004000,9.267521000,12.195119000,1020.985840000
168.000000,-1011287.500000000,310.489777000,110.711388000,0.000004000,9.262520000,12.206386000,1021.145203000
170.000000,-1009940.625000000,310.581879000,-83.590645000,0.000004000,9.265822000,12.216087000,1019.607056000
172.000000,-1009003.437500000,309.679901000,-110.406120000,0.000004000,9.271461000,12.216866000,1018.302124000
174.000000,-1008961.687500000,308.317322000,106.569923000,0.000004000,9.266314000,12.218138000,1019.327881000
176.000000,-1007840.687500000,309.441437000,-31.954987000,0.000004000,9.258267000,12.232117000,1019.933472000
178.000000,-1009537.750000000,310.337646000,190.599075000,0.000004000,9.251849000,12.232639000,1021.305420000
180.000000,-1009971.062500000,309.753021000,-245.875916000,0.000004000,9.257896000,12.241290000,1019.250793000
182.000000,-1007559.250000000,309.700439000,-112.487755000,0.000004000,9.258125000,12.233607000,1019.840515000
184.000000,-1007201.562500000,310.720367000,12.459592000,0.000004000,9.263326000,12.221778000,1019.681702000
186.000000,-1007035.312500000,311.069672000,52.685001000,0.000004000,9.262062000,12.227993000,1019.441528000
188.000000,-1007357.062500000,310.282806000,-121.381981000,0.000004000,9.270908000,12.221330000,1018.051758000
190.000000,-1008760.187500000,310.178009000,-60.007328000,0.000004000,9.261318000,12.208298000,1021.250183000
192.000000,-1008716.125000000,311.130646000,-142.202148000,0.000004000,9.260186000,12.220268000,1020.499390000
194.000000,-1006316.937500000,310.262787000,14.329013000,0.000004000,9.258608000,12.237353000,1019.422058000
196.000000,-1006675.125000000,311.705994000,-99.161690000,0.000004000,9.256760000,12.251281000,1018.669800000
198.000000,-1005963.437500000,310.879791000,-63.112900000,0.000004000,9.263288000,12.250543000,1017.295593000
200.000000,-1006365.437500000,312.066498000,96.091515000,0.000004000,9.260761000,12.248034000,1018.059448000
202.000000,-1006174.437500000,309.803802000,-4.962271000,0.000004000,9.262880000,12.228867000,1019.188660000
204.000000,-1006599.875000000,311.003204000,64.257011000,0.000004000,9.270943000,12.218624000,1018.269714000
206.000000,-1007148.187500000,309.967163000,8.730965000,0.000004000,9.270161000,12.216748000,1018.597778000
208.000000,-1009189.312500000,310.021729000,-25.625580000,0.000004000,9.274526000,12.224379000,1017.004150000
210.000000,-1006431.687500000,309.035034000,43.148449000,0.000004000,9.270205000,12.227777000,1017.669495000
212.000000,-1007109.375000000,310.250580000,-87.073524000,0.000004000,9.268662000,12.237705000,1017.182312000
214.000000,-1008196.875000000,310.925964000,243.993423000,0.000004000,9.262376000,12.224959000,1019.625549000
216.000000,-1008223.750000000,307.045990000,17.958660000,0.000004000,9.266222000,12.215141000,1019.598145000
218.000000,-1008775.875000000,309.726562000,-61.332687000,0.000004000,9.269637000,12.206306000,1019.584473000
220.000000,-1007945.250000000,310.241974000,-27.580667000,0.000004000,9.264744000,12.213568000,1020.054871000
222.000000,-1009831.500000000,309.588684000,-198.631714000,0.000004000,9.264716000,12.226385000,1018.991516000
224.000000,-1008163.437500000,309.825195000,112.017555000,0.000004000,9.258479000,12.217177000,1021.133972000
226.000000,-1009241.187500000,309.878204000,-160.497086000,0.000004000,9.266644000,12.217562000,1019.303345000
228.000000,-1007561.750000000,310.146881000,-138.780563000,0.000004000,9.274848000,12.230803000,1016.399170000
230.000000,-1004784.250000000,310.497650000,-172.611343000,0.000004000,9.274923000,12.232553000,1016.237427000
232.000000,-1005965.875000000,310.581848000,-288.529144000,0.000004000,9.271577000,12.241305000,1016.244019000
234.000000,-1006272.750000000,310.556854000,13.672090000,0.000004000,9.266414000,12.225655000,1018.679138000
236.000000,-1008567.812500000,309.384521000,74.785057000,0.000004000,9.265203000,12.220027000,1019.414673000
238.000000,-1008835.312500000,309.107391000,-11.436082000,0.000004000,9.264333000,12.220283000,1019.584839000
240.000000,-1007597.187500000,309.174652000,38.762272000,0.000004000,9.260989000,12.225362000,1019.897278000
242.000000,-1007334.625000000,311.087189000,-44.562626000,0.000004000,9.259961000,12.229801000,1019.753479000
244.000000,-1007725.187500000,312.364716000,-100.688698000,0.000004000,9.258971000,12.232504000,1019.746155000
246.000000,-1008084.687500000,311.238831000,168.025848000,0.000004000,9.259295000,12.240182000,1019.035339000
248.000000,-1006765.562500000,310.705139000,-120.173363000,0.000004000,9.254876000,12.256434000,1018.655945000
250.000000,-1008223.437500000,309.731415000,2.020314000,0.000004000,9.248338000,12.256661000,1020.077881000
252.000000,-1008973.687500000,309.791077000,-167.512283000,0.000004000,9.251152000,12.266517000,1018.638306000
254.000000,-1008745.625000000,312.074829000,-146.969543000,0.000004000,9.242408000,12.245181000,1022.344849000
256.000000,-1006614.625000000,310.816895000,74.209633000,0.000004000,9.252440000,12.262317000,1018.703430000
258.000000,-1009855.125000000,309.153778000,181.837753000,0.000004000,9.247198000,12.263262000,1019.780212000
260.000000,-1008933.687500000,309.225861000,143.802979000,0.000004000,9.248585000,12.255986000,1020.079529000
262.000000,-1007919.375000000,309.722504000,59.129719000,0.000004000,9.244973000,12.256305000,1020.850342000
264.000000,-1009323.312500000,310.795319000,91.427345000,0.000004000,9.239064000,12.255427000,1022.229614000
266.000000,-1009483.437500000,310.077179000,133.494797000,0.000004000,9.249602000,12.248239000,1020.500305000
268.000000,-1009681.000000000,309.715149000,-98.159279000,0.000004000,9.253628000,12.248353000,1019.603088000
270.000000,-1010906.937500000,308.824280000,24.376633000,0.000004000,9.256719000,12.227680000,1020.645020000
272.000000,-1007936.000000000,310.408661000,1.580668000,0.000004000,9.254803000,12.225582000,1021.242798000
274.000000,-1009727.187500000,308.431213000,46.726902000,0.000004000,9.255735000,12.222404000,1021.302429000
276.000000,-1010167.250000000,309.001892000,-131.982620000,0.000004000,9.259372000,12.225165000,1020.270020000
278.000000,-1008145.875000000,310.830627000,62.533298000,0.000004000,9.258019000,12.229149000,1020.235657000
280.000000,-1006276.125000000,312.074615000,-1.690102000,0.000004000,9.264916000,12.233479000,1018.356689000
282.000000,-1005256.187500000,313.209930000,154.935349000,0.000004000,9.266622000,12.230865000,1018.199402000
284.000000,-1006723.437500000,310.596069000,-16.979628000,0.000004000,9.257871000,12.224817000,1020.629944000
